ANZSOCGroup,MapDetailName,Region,NumberofVictimisations,NumberofRecords,OccurrenceDayOfWeek,Weapon,YearMonth
AggravatedSexualAssault,MtWellingtonWest.,AucklandRegion,1,1,Fri,NotStated,1/02/15
AggravatedSexualAssault,HighSt-StuartSt.,OtagoRegion,1,1,Tue,NotApplicable,1/02/15
Non-AggravatedSexualAssault,OtagoUniversity.,OtagoRegion,1,1,Wed,NotApplicable,1/02/15
AggravatedSexualAssault,GreenIsland.,OtagoRegion,1,1,Fri,NotApplicable,1/02/15
AggravatedSexualAssault,OtagoUniversity.,OtagoRegion,1,1,UNKNOWN,NotApplicable,1/02/15
AggravatedSexualAssault,Appleby-Kew.,SouthlandRegion,1,1,UNKNOWN,NotApplicable,1/02/15
AggravatedSexualAssault,,,0,1,UNKNOWN,NotStated,1/03/15
Non-AggravatedSexualAssault,,,0,1,Wed,NotApplicable,1/03/15
AggravatedSexualAssault,,,0,1,Sat,NotStated,1/03/15
AggravatedSexualAssault,WeymouthEast.,AucklandRegion,1,1,Tue,NotStated,1/02/15
AggravatedSexualAssault,GonvilleSouth.,Manawatu-WanganuiRegion,1,1,Fri,NotStated,1/02/15
AggravatedSexualAssault,NewPlymouthCentral.,TaranakiRegion,1,1,Sun,NotApplicable,1/02/15
AggravatedSexualAssault,Westown.,TaranakiRegion,1,1,Thu,NotStated,1/02/15
AggravatedSexualAssault,StratfordEast.,TaranakiRegion,1,1,Tue,NotStated,1/02/15
AggravatedSexualAssault,GonvilleWest.,Manawatu-WanganuiRegion,1,1,UNKNOWN,NotStated,1/02/15
AggravatedSexualAssault,Brockville.,OtagoRegion,1,1,UNKNOWN,NotStated,1/08/14
AggravatedSexualAssault,HighSt-StuartSt.,OtagoRegion,1,1,Wed,NotStated,1/08/14
AggravatedSexualAssault,QueenstownHill.,OtagoRegion,1,1,UNKNOWN,NotApplicable,1/08/14
AggravatedSexualAssault,OtakaroPark.,SouthlandRegion,1,1,Sat,NotApplicable,1/08/14
Non-AggravatedSexualAssault,,,0,1,Fri,NotApplicable,1/09/14
AggravatedSexualAssault,,,0,1,Mon,NotApplicable,1/09/14
Non-AggravatedSexualAssault,,,0,1,Mon,NotApplicable,1/09/14
AggravatedSexualAssault,,,0,1,Tue,NotStated,1/09/14
AggravatedSexualAssault,,,0,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,,,0,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,,,0,1,Fri,NotApplicable,1/09/14
AggravatedSexualAssault,,,0,1,Tue,NotStated,1/09/14
AggravatedSexualAssault,,,0,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,,,0,1,UNKNOWN,NotStated,1/09/14
AggravatedSexualAssault,,,0,1,UNKNOWN,NotStated,1/09/14
AggravatedSexualAssault,,,0,1,UNKNOWN,NotStated,1/09/14
AggravatedSexualAssault,,,0,1,Wed,NotStated,1/09/14
Non-AggravatedSexualAssault,PukekoheWest.,AucklandRegion,1,1,Sun,NotStated,1/09/14
AggravatedSexualAssault,Kihikihi.,WaikatoRegion,1,1,UNKNOWN,NotStated,1/10/14
AggravatedSexualAssault,TeAwamutuSouth.,WaikatoRegion,1,1,UNKNOWN,NotStated,1/10/14
AggravatedSexualAssault,OwhataWest.,BayofPlentyRegion,1,1,Mon,NotStated,1/10/14
AggravatedSexualAssault,OwhataWest.,BayofPlentyRegion,1,1,UNKNOWN,NotStated,1/10/14
AggravatedSexualAssault,StuartSt-FrederickSt.,OtagoRegion,1,1,Sun,NotApplicable,1/10/14
Non-AggravatedSexualAssault,Aramoana.,OtagoRegion,1,1,Thu,NotApplicable,1/10/14
Non-AggravatedSexualAssault,OtagoUniversity.,OtagoRegion,1,1,Thu,NotApplicable,1/10/14
Non-AggravatedSexualAssault,Palmerston.,OtagoRegion,1,1,Wed,NotApplicable,1/10/14
AggravatedSexualAssault,Crinan.,SouthlandRegion,1,1,Mon,NotApplicable,1/10/14
AggravatedSexualAssault,Camberley.,Hawke'sBayRegion,1,1,UNKNOWN,NotStated,1/12/14
AggravatedSexualAssault,Wainui.,GisborneRegion,1,1,Wed,NotStated,1/12/14
